 ,Area,Value,Min,Max,IntDen,RawIntDen
1,1.583,4514.104,366,45428,7147.632,71476315
2,1.249,905.895,273,6633,1131.645,11316446
3,1.105,2106.194,532,12479,2327.134,23271342
4,1.341,10795.901,168,65535,14479.462,144794622
5,1.459,818.69,221,4122,1194.305,11943051
6,1.077,9476.641,446,65535,10209.185,102091851
7,1.737,16211.551,713,65535,28159.464,281594636
8,2.061,1186.758,416,5369,2445.908,24459084
9,1.573,14737.98,802,52011,23176.947,231769467
10,2.877,22962.36,608,65535,66069.6,660695997
11,3.009,1111.396,149,4378,3344.192,33441918
12,2.092,24123.365,160,65535,50456.43,504564298
13,1.859,25948.732,249,65535,48228.313,482283125
14,1.654,921.47,176,4354,1523.743,15237429
15,2.553,27782.797,165,65535,70935.037,709350374
